,Produit interieur brut (PIB),Importations,Depense de consommation des menages,Formation brute de capital fixe,Exportations,Monthly economic survey in services - Past trend of activity - All services activities - SA series,Consumer price index - Base 2015 - All households - France - Food,Consumer price index - Base 2015 - All households - France - Energy,Monthly economic survey in services - Expected trend of demand - All services activities - SA series,Monthly economic outlook survey in the building industry - Utilisation rate of production capacities in % - Overall - SA series,Consumer price index - Base 2015 - All households - France - Manufactured products,Monthly economic outlook survey in the building industry - Past trend in the workforce - Overall - SA series,Consumer price index - Base 2015 - All households - France - Services,Monthly economic outlook survey in the building industry - Trend of past activity - Overall - SA series,Monthly economic outlook survey in the building industry - Trend of expected activity - Overall - SA series,Rent reference index (RRI),"SA-WDA industrial production index (base 100 in 2015) - Manufacturing (NAF rev. 2, level A10, item CZ)",Monthly economic outlook survey in the building industry - Judgment on the order book level - Overall - SA series,Monthly economic survey in services - Expected trend of activity - All services activities - SA series,ILO unemployment rate - Total - Metropolitan France - SA data,Business climate summary indicator - All sectors - Metropolitan France
2002-10-01,1.0,,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
2003-01-01,0.5,,0.6666666666666667,0.18181818181818182,-22.0,0.4666666666666666,1.010668904339487,1.0126773317235134,2.0714285714285716,0.9967320261437909,0.9859858878871031,-0.03225806451612903,1.007341576506955,1.1666666666666667,1.2346938775510203,1.005302528169681,1.0031998537209728,0.8852459016393444,2.2,1.0526315789473684,1.0010330578512399
2003-04-01,-1.0,-inf,0.16666666666666669,0.0,-8.0,3.6666666666666665,1.0232558139534884,1.0075460307878057,10.785714285714286,0.9901960784313727,1.0015680125441002,-1.4516129032258065,1.013781555899021,1.3596491228070176,1.096938775510204,1.0094688003030017,1.0095995611629183,0.9672131147540984,9.9,1.0657894736842106,0.9049586776859504
2003-07-01,3.4999999999999996,inf,1.0,1.4545454545454546,11.0,3.3333333333333335,1.0278110764804602,0.9849079384243887,2.5,0.9945533769063181,0.988141905135241,-0.06451612903225806,1.0244719216898506,1.4122807017543861,0.7244897959183673,1.0137297604393523,0.9962515999268605,0.9016393442622951,1.2,1.0526315789473684,0.9803719008264463
2003-10-01,3.4999999999999996,inf,0.5,0.18181818181818182,26.0,1.5333333333333332,1.029968832414289,0.9965288258376094,-1.2142857142857144,0.9923747276688453,1.0049000392003136,0.2258064516129032,1.025888717156105,1.1666666666666667,0.28061224489795916,1.017801344569643,1.0089595904187239,0.8688524590163935,-5.7,1.105263157894737,0.9886363636363636
2004-01-01,5.0,inf,1.0,1.0909090909090908,4.0,-3.0666666666666664,1.0317669623591463,1.0010564443102927,-5.0,0.9978213507625272,0.9869658957271656,-2.161290322580645,1.0324574961360122,0.12280701754385964,-0.770408163265306,1.0207366726635736,1.0042969464253062,0.2213114754098361,-8.9,1.131578947368421,1.0712809917355373
2004-04-01,2.9999999999999996,inf,0.6666666666666667,0.45454545454545453,17.0,-2.0,1.0385998561496044,1.0227890129791728,-6.071428571428572,0.9945533769063181,1.004312034496276,-2.5161290322580645,1.038768675940237,-0.543859649122807,-0.3061224489795918,1.0252816968090144,1.0124337173157798,-0.09836065573770492,-9.4,1.105263157894737,1.0599173553719008
2004-07-01,1.4999999999999998,inf,0.0,0.2727272727272727,4.0,-5.6000000000000005,1.0357228482378327,1.0434651373377604,-4.142857142857143,0.9967320261437909,0.9880439043512347,-0.5483870967741935,1.0534518289541475,-0.5964912280701754,-0.5561224489795918,1.029447968942335,1.0240446151033096,0.4672131147540984,-8.3,1.118421052631579,1.0754132231404958
2004-10-01,3.4999999999999996,inf,2.5,1.2727272727272725,20.0,-5.0,1.0220570606569168,1.1018714156353757,-4.0,1.0,1.0042140337122696,0.12903225806451613,1.051648634724369,-0.763157894736842,-0.6071428571428571,1.0339929930877758,1.0275187420003657,0.8524590163934427,-7.7,1.118421052631579,1.084710743801653
2005-01-01,1.0,inf,1.0,0.6363636363636362,-6.999999999999999,-4.2,1.0266123231838888,1.0718382130999093,-5.857142857142857,1.0,0.988827910623285,-0.2258064516129032,1.0574446161772282,-0.9736842105263157,-0.5714285714285714,1.0381592652210965,1.0320899616017554,0.5081967213114754,-8.3,1.092105263157895,1.0712809917355373
