Label,Monthly economic survey in services - Past trend of activity - All services activities - SA series,Consumer price index - Base 2015 - All households - France - Food,Consumer price index - Base 2015 - All households - France - Energy,Monthly economic survey in services - Expected trend of demand - All services activities - SA series,Monthly business survey in goods-producing industries - Manufacturing industry - Level of global order books (balance of opinion) - SA series,Monthly economic outlook survey in the building industry - Utilisation rate of production capacities in % - Overall - SA series,Consumer price index - Base 2015 - All households - France - Manufactured products,Monthly economic outlook survey in the building industry - Past trend in the workforce - Overall - SA series,Consumer price index - Base 2015 - All households - France - Services,Monthly economic outlook survey in the building industry - Trend of past activity - Overall - SA series,Monthly business survey in goods-producing industries - Manufacturing industry - Expected trend in production (balance of opinion) - SA series,Monthly business survey in goods-producing industries - Manufacturing industry - Level of foreign order books (balance of opinion) - SA series,Monthly business survey in goods-producing industries - Manufacturing industry - Level of stocks of manufactured products (balance of opinion) - SA series,Monthly economic outlook survey in the building industry - Trend of expected activity - Overall - SA series,"SA-WDA industrial production index (base 100 in 2015) - Manufacturing (NAF rev. 2, level A10, item CZ)",Monthly economic outlook survey in the building industry - Judgment on the order book level - Overall - SA series,Monthly business survey in goods-producing industries - Manufacturing industry - General outlook - Probable trend in industrial production volume (balance of opinion) - SA series,Monthly business survey in goods-producing industries - Manufacturing industry - Past trend in production (balance of opinion) - SA series,Monthly economic survey in services - Expected trend of activity - All services activities - SA series,Business climate summary indicator - All sectors - Metropolitan France,Employment climate summary indicator - All sectors - Metropolitan France
1991-03-31,3.7,69.23333333333333,54.59,-11.4,-27.46666666666667,90.5,94.60000000000001,3.4,59.76666666666667,1.3,-5.199999999999999,-34.199999999999996,20.433333333333334,-10.7,93.71666666666665,-19.0,-38.166666666666664,-8.6,-4.8,92.73333333333333,100.2
1991-06-30,-11.8,70.3,53.873333333333335,0.5,-27.766666666666666,89.2,95.24333333333334,-0.4,60.39666666666667,-8.8,-3.3666666666666667,-31.566666666666666,20.266666666666666,-10.1,92.56333333333333,-25.2,-32.5,-11.166666666666666,-0.6,94.73333333333333,94.89999999999999
1991-09-30,-2.9,70.40333333333332,54.61333333333334,-3.0,-32.03333333333333,89.3,95.78666666666668,-0.1,60.96666666666667,-18.3,-0.10000000000000002,-28.333333333333332,19.0,-19.8,92.39666666666666,-27.5,-25.166666666666668,-6.966666666666666,1.7,93.63333333333333,89.13333333333333
1991-12-31,-2.6,70.88333333333334,54.81666666666666,-2.8,-32.46666666666667,88.3,96.40666666666668,-6.3,61.576666666666675,-22.3,1.3666666666666665,-32.233333333333334,20.166666666666668,-25.0,92.67666666666666,-36.1,-24.8,-7.3999999999999995,5.2,92.3,90.66666666666667
1992-03-31,-7.5,70.91,53.93333333333334,-0.9,-33.36666666666667,87.3,97.0,-9.4,62.276666666666664,-31.3,1.1666666666666667,-30.266666666666666,16.866666666666667,-34.7,92.74333333333334,-43.8,-16.166666666666668,-3.9,5.1,93.89999999999999,90.26666666666667
1992-06-30,-2.9,71.36333333333333,53.90333333333333,-7.0,-34.300000000000004,86.4,97.31333333333333,-18.5,63.04,-34.5,-2.5,-30.066666666666666,18.433333333333334,-48.4,92.00333333333333,-54.9,-14.700000000000001,-4.433333333333334,-1.0,91.33333333333333,88.93333333333334
1992-09-30,-10.2,70.05,53.660000000000004,-9.8,-37.36666666666667,85.8,97.53666666666668,-32.8,63.723333333333336,-52.6,-7.266666666666667,-26.866666666666664,18.599999999999998,-50.1,90.57333333333334,-64.9,-24.733333333333334,-11.466666666666667,-7.2,85.73333333333333,88.5
1992-12-31,-6.8,70.43666666666667,53.586666666666666,-14.5,-48.333333333333336,84.8,97.94666666666667,-33.5,64.16666666666667,-58.6,-14.9,-42.96666666666667,21.766666666666666,-56.2,89.23333333333333,-68.5,-40.46666666666667,-21.53333333333333,-14.4,81.2,83.2
1993-03-31,-16.3,70.81666666666666,53.873333333333335,-20.6,-54.300000000000004,84.3,98.33333333333333,-37.0,64.80666666666667,-62.9,-23.633333333333336,-54.93333333333334,24.433333333333334,-53.2,87.59333333333332,-69.0,-52.699999999999996,-28.233333333333334,-18.1,77.7,80.2
1993-06-30,-22.9,70.96333333333332,54.199999999999996,-15.2,-60.333333333333336,84.0,98.88333333333333,-34.4,65.35666666666667,-59.8,-22.03333333333333,-57.63333333333333,29.8,-47.1,86.54333333333334,-65.8,-49.800000000000004,-34.199999999999996,-11.2,78.3,80.0
