,Label,Monthly economic outlook survey in the building industry - Trend of past activity - Overall - SA series,Codes
0,1970-01,,
1,1970-02,,
2,1970-03,,
3,1970-04,,
4,1970-05,,
5,1970-06,,
6,1970-07,,
7,1970-08,,
8,1970-09,,
9,1970-10,,
10,1970-11,,
11,1970-12,,
12,1971-01,,
13,1971-02,,
14,1971-03,,
15,1971-04,,
16,1971-05,,
17,1971-06,,
18,1971-07,,
19,1971-08,,
20,1971-09,,
21,1971-10,,
22,1971-11,,
23,1971-12,,
24,1972-01,,
25,1972-02,,
26,1972-03,,
27,1972-04,,
28,1972-05,,
29,1972-06,,
30,1972-07,,
31,1972-08,,
32,1972-09,,
33,1972-10,,
34,1972-11,,
35,1972-12,,
36,1973-01,,
37,1973-02,,
38,1973-03,,
39,1973-04,,
40,1973-05,,
41,1973-06,,
42,1973-07,,
43,1973-08,,
44,1973-09,,
45,1973-10,,
46,1973-11,,
47,1973-12,,
48,1974-01,,
49,1974-02,,
50,1974-03,,
51,1974-04,,
52,1974-05,,
53,1974-06,,
54,1974-07,,
55,1974-08,,
56,1974-09,,
57,1974-10,,
58,1974-11,,
59,1974-12,,
60,1975-01,-38.6,A
61,1975-02,,O
62,1975-03,,O
63,1975-04,-40.8,A
64,1975-05,,O
65,1975-06,,O
66,1975-07,-33.4,A
67,1975-08,,O
68,1975-09,,O
69,1975-10,-45.9,A
70,1975-11,,O
71,1975-12,,O
72,1976-01,-19.0,A
73,1976-02,,O
74,1976-03,,O
75,1976-04,-34.1,A
76,1976-05,,O
77,1976-06,,O
78,1976-07,2.4,A
79,1976-08,,O
80,1976-09,,O
81,1976-10,-26.7,A
82,1976-11,,O
83,1976-12,,O
84,1977-01,-24.2,A
85,1977-02,,O
86,1977-03,,O
87,1977-04,-26.6,A
88,1977-05,,O
89,1977-06,,O
90,1977-07,-39.0,A
91,1977-08,,O
92,1977-09,,O
93,1977-10,-40.2,A
94,1977-11,,O
95,1977-12,,O
96,1978-01,-37.5,A
97,1978-02,,O
98,1978-03,,O
99,1978-04,-28.5,A
100,1978-05,,O
101,1978-06,,O
102,1978-07,-22.6,A
103,1978-08,,O
104,1978-09,,O
105,1978-10,-21.1,A
106,1978-11,,O
107,1978-12,,O
108,1979-01,-21.4,A
109,1979-02,,O
110,1979-03,,O
111,1979-04,-20.6,A
112,1979-05,,O
113,1979-06,,O
114,1979-07,0.2,A
