"Label";"Foreign trade index - Exports - All geographical zones - CPF 10 - Food products - Reference 100 in 2005 - Stopped series";"Codes"
"idBank";"001626407";""
"Last update";"11/07/2022 16:47";""
"Period";"";""
"1999-01";"96.4";"A"
"1999-02";"95.1";"A"
"1999-03";"95.2";"A"
"1999-04";"94.5";"A"
"1999-05";"94.4";"A"
"1999-06";"95.3";"A"
"1999-07";"95.3";"A"
"1999-08";"94.9";"A"
"1999-09";"94.9";"A"
"1999-10";"95.5";"A"
"1999-11";"95.3";"A"
"1999-12";"95.7";"A"
"2000-01";"95.1";"A"
"2000-02";"95.3";"A"
"2000-03";"95.1";"A"
"2000-04";"96.3";"A"
"2000-05";"96.8";"A"
"2000-06";"96.9";"A"
"2000-07";"97.7";"A"
"2000-08";"98.2";"A"
"2000-09";"99.3";"A"
"2000-10";"100.8";"A"
"2000-11";"101.3";"A"
"2000-12";"102.0";"A"
"2001-01";"101.8";"A"
"2001-02";"102.1";"A"
"2001-03";"102.7";"A"
"2001-04";"103.4";"A"
"2001-05";"103.4";"A"
"2001-06";"103.6";"A"
"2001-07";"103.5";"A"
"2001-08";"102.9";"A"
"2001-09";"102.2";"A"
"2001-10";"102.9";"A"
"2001-11";"103.9";"A"
"2001-12";"104.0";"A"
"2002-01";"103.1";"A"
"2002-02";"103.2";"A"
"2002-03";"103.9";"A"
"2002-04";"103.3";"A"
"2002-05";"101.7";"A"
"2002-06";"101.9";"A"
"2002-07";"101.1";"A"
"2002-08";"101.9";"A"
"2002-09";"101.8";"A"
"2002-10";"102.0";"A"
"2002-11";"102.4";"A"
"2002-12";"102.7";"A"
"2003-01";"101.8";"A"
"2003-02";"101.3";"A"
"2003-03";"102.5";"A"
"2003-04";"101.1";"A"
"2003-05";"100.7";"A"
"2003-06";"100.3";"A"
"2003-07";"101.9";"A"
"2003-08";"101.1";"A"
"2003-09";"101.5";"A"
"2003-10";"101.9";"A"
"2003-11";"102.1";"A"
"2003-12";"103.1";"A"
"2004-01";"101.7";"A"
"2004-02";"102.2";"A"
"2004-03";"102.1";"A"
"2004-04";"102.2";"A"
"2004-05";"102.7";"A"
"2004-06";"102.5";"A"
"2004-07";"102.6";"A"
"2004-08";"102.0";"A"
"2004-09";"102.9";"A"
"2004-10";"102.1";"A"
"2004-11";"101.5";"A"
"2004-12";"100.1";"A"
"2005-01";"99.9";"A"
"2005-02";"99.4";"A"
"2005-03";"100.2";"A"
"2005-04";"99.1";"A"
"2005-05";"99.2";"A"
"2005-06";"100.5";"A"
"2005-07";"99.8";"A"
"2005-08";"99.5";"A"
"2005-09";"100.2";"A"
"2005-10";"100.5";"A"
"2005-11";"100.7";"A"
"2005-12";"101.0";"A"
"2006-01";"101.3";"A"
"2006-02";"101.5";"A"
"2006-03";"100.6";"A"
"2006-04";"101.2";"A"
"2006-05";"100.9";"A"
"2006-06";"100.9";"A"
"2006-07";"100.2";"A"
"2006-08";"100.4";"A"
"2006-09";"101.4";"A"
"2006-10";"102.2";"A"
"2006-11";"102.5";"A"
"2006-12";"102.1";"A"
"2007-01";"103.2";"A"
"2007-02";"103.8";"A"
"2007-03";"103.8";"A"
"2007-04";"104.6";"A"
"2007-05";"105.0";"A"
"2007-06";"104.7";"A"
"2007-07";"105.4";"A"
"2007-08";"106.9";"A"
"2007-09";"107.7";"A"
"2007-10";"108.8";"A"
"2007-11";"109.6";"A"
"2007-12";"110.5";"A"
"2008-01";"111.9";"A"
"2008-02";"111.5";"A"
"2008-03";"111.9";"A"
"2008-04";"112.1";"A"
"2008-05";"112.6";"A"
"2008-06";"113.4";"A"
"2008-07";"113.8";"A"
"2008-08";"113.8";"A"
"2008-09";"113.7";"A"
"2008-10";"113.5";"A"
"2008-11";"112.6";"A"
"2008-12";"111.0";"A"
"2009-01";"110.0";"A"
"2009-02";"109.3";"A"
"2009-03";"108.5";"A"
"2009-04";"107.7";"A"
"2009-05";"107.2";"A"
"2009-06";"107.7";"A"
"2009-07";"106.7";"A"
"2009-08";"107.3";"A"
"2009-09";"107.1";"A"
"2009-10";"105.9";"A"
"2009-11";"106.0";"A"
"2009-12";"107.2";"A"
"2010-01";"107.7";"A"
"2010-02";"108.4";"A"
"2010-03";"107.8";"A"
"2010-04";"107.9";"A"
"2010-05";"108.7";"A"
"2010-06";"110.3";"A"
"2010-07";"111.4";"A"
"2010-08";"110.8";"A"
"2010-09";"112.2";"A"
"2010-10";"112.4";"A"
"2010-11";"113.2";"A"
"2010-12";"113.3";"A"
"2011-01";"116.6";"A"
"2011-02";"117.8";"A"
"2011-03";"118.6";"A"
"2011-04";"119.9";"A"
"2011-05";"119.7";"A"
"2011-06";"120.5";"A"
"2011-07";"120.5";"A"
"2011-08";"120.7";"A"
"2011-09";"120.2";"A"
"2011-10";"121.1";"A"
"2011-11";"120.8";"A"
"2011-12";"121.0";"A"
"2012-01";"120.1";"A"
"2012-02";"120.7";"A"
"2012-03";"120.4";"A"
"2012-04";"119.9";"A"
"2012-05";"120.0";"A"
"2012-06";"119.8";"A"
"2012-07";"120.1";"A"
"2012-08";"120.7";"A"
"2012-09";"121.2";"A"
"2012-10";"121.8";"A"
"2012-11";"122.2";"A"
"2012-12";"121.5";"A"
"2013-01";"122.3";"A"
"2013-02";"121.7";"A"
"2013-03";"122.3";"A"
"2013-04";"122.6";"A"
"2013-05";"122.5";"A"
"2013-06";"123.4";"A"
"2013-07";"124.0";"A"
"2013-08";"124.0";"A"
"2013-09";"123.6";"A"
"2013-10";"123.7";"A"
"2013-11";"123.8";"A"
"2013-12";"124.1";"A"
"2014-01";"123.4";"A"
"2014-02";"123.4";"A"
"2014-03";"123.4";"A"
"2014-04";"123.8";"A"
"2014-05";"124.0";"A"
"2014-06";"124.0";"A"
"2014-07";"124.2";"A"
"2014-08";"123.1";"A"
"2014-09";"123.3";"A"
"2014-10";"122.5";"A"
"2014-11";"121.5";"A"
"2014-12";"121.3";"A"
"2015-01";"121.7";"A"
"2015-02";"121.8";"A"
"2015-03";"122.1";"A"
"2015-04";"122.6";"A"
"2015-05";"122.4";"A"
"2015-06";"123.0";"A"
"2015-07";"123.6";"A"
"2015-08";"123.3";"A"
"2015-09";"123.4";"A"
"2015-10";"122.9";"A"
"2015-11";"122.9";"A"
"2015-12";"122.0";"A"
"2016-01";"122.0";"A"
"2016-02";"120.8";"A"
"2016-03";"120.7";"A"
"2016-04";"119.1";"A"
"2016-05";"119.1";"A"
"2016-06";"119.4";"A"
"2016-07";"119.7";"A"
"2016-08";"119.7";"A"
"2016-09";"120.2";"A"
"2016-10";"121.0";"A"
"2016-11";"120.9";"A"
"2016-12";"123.9";"A"
"2017-01";"124.8";"A"
"2017-02";"125.0";"A"
"2017-03";"125.2";"A"
"2017-04";"125.1";"A"
"2017-05";"124.6";"A"
"2017-06";"125.3";"A"
"2017-07";"125.2";"A"
"2017-08";"125.7";"A"
"2017-09";"125.9";"A"
"2017-10";"126.0";"A"
"2017-11";"125.8";"A"
"2017-12";"125.4";"A"
"2018-01";"124.4";"A"
"2018-02";"124.3";"A"
"2018-03";"124.2";"A"
"2018-04";"124.1";"A"
"2018-05";"124.4";"A"
"2018-06";"124.6";"A"
"2018-07";"124.0";"A"
"2018-08";"124.1";"A"
"2018-09";"124.8";"A"
"2018-10";"124.9";"A"
"2018-11";"125.2";"A"
"2018-12";"125.2";"A"
"2019-01";"125.3";"A"
"2019-02";"125.5";"A"
"2019-03";"125.9";"A"
"2019-04";"126.9";"A"
"2019-05";"126.7";"A"
"2019-06";"126.6";"A"
"2019-07";"125.7";"A"
"2019-08";"126.4";"A"
"2019-09";"126.8";"A"
"2019-10";"127.1";"A"
"2019-11";"127.9";"A"
"2019-12";"128.4";"A"
"2020-01";"128.8";"A"
"2020-02";"129.2";"A"
"2020-03";"129.4";"A"
"2020-04";"129.1";"A"
"2020-05";"128.5";"A"
"2020-06";"127.3";"A"
"2020-07";"127.0";"A"
"2020-08";"126.9";"A"
"2020-09";"126.8";"A"
"2020-10";"126.7";"A"
"2020-11";"126.8";"A"
"2020-12";"126.7";"A"
"2021-01";"126.7";"A"
"2021-02";"127.0";"A"
"2021-03";"127.8";"A"
"2021-04";"128.6";"A"
"2021-05";"129.0";"A"
"2021-06";"128.9";"A"
"2021-07";"130.1";"A"
"2021-08";"130.6";"A"
"2021-09";"130.9";"A"
"2021-10";"131.3";"A"
"2021-11";"132.7";"A"
"2021-12";"133.5";"A"
"2022-01";"136.8";"A"
"2022-02";"139.1";"A"
"2022-03";"143.5";"A"
"2022-04";"147.6";"A"
"2022-05";"153.4";"A"
