"Label";"Final domestic demand - Contribution to GDP growth - Volumes chained at previous year prices - SA-WDA series";"Codes"
"idBank";"010565680";""
"Last update";"28/10/2022 07:30";""
"Period";"";""
"1999-T1";"1.32";"A"
"1999-T2";"0.18";"A"
"1999-T3";"0.69";"A"
"1999-T4";"1.86";"A"
"2000-T1";"1.01";"A"
"2000-T2";"1.21";"A"
"2000-T3";"1.08";"A"
"2000-T4";"0.55";"A"
"2001-T1";"0.03";"A"
"2001-T2";"0.63";"A"
"2001-T3";"-0.22";"A"
"2001-T4";"0.16";"A"
"2002-T1";"0.79";"A"
"2002-T2";"-0.05";"A"
"2002-T3";"0.31";"A"
"2002-T4";"0.23";"A"
"2003-T1";"0.73";"A"
"2003-T2";"-0.15";"A"
"2003-T3";"0.59";"A"
"2003-T4";"0.42";"A"
"2004-T1";"1.05";"A"
"2004-T2";"0.64";"A"
"2004-T3";"0.62";"A"
"2004-T4";"0.87";"A"
"2005-T1";"0.52";"A"
"2005-T2";"0.14";"A"
"2005-T3";"0.59";"A"
"2005-T4";"0.91";"A"
"2006-T1";"0.32";"A"
"2006-T2";"1.08";"A"
"2006-T3";"0.29";"A"
"2006-T4";"0.91";"A"
"2007-T1";"0.94";"A"
"2007-T2";"1.04";"A"
"2007-T3";"0.61";"A"
"2007-T4";"0.25";"A"
"2008-T1";"0.18";"A"
"2008-T2";"-0.34";"A"
"2008-T3";"-0.06";"A"
"2008-T4";"-0.99";"A"
"2009-T1";"-1.67";"A"
"2009-T2";"-0.52";"A"
"2009-T3";"-0.05";"A"
"2009-T4";"1.74";"A"
"2010-T1";"-0.45";"A"
"2010-T2";"0.84";"A"
"2010-T3";"0.87";"A"
"2010-T4";"0.73";"A"
"2011-T1";"1.51";"A"
"2011-T2";"-0.79";"A"
"2011-T3";"0.3";"A"
"2011-T4";"-0.44";"A"
"2012-T1";"0.02";"A"
"2012-T2";"-0.21";"A"
"2012-T3";"0.34";"A"
"2012-T4";"-0.18";"A"
"2013-T1";"0.0";"A"
"2013-T2";"0.61";"A"
"2013-T3";"0.36";"A"
"2013-T4";"0.69";"A"
"2014-T1";"0.07";"A"
"2014-T2";"0.31";"A"
"2014-T3";"0.74";"A"
"2014-T4";"-0.12";"A"
"2015-T1";"0.84";"A"
"2015-T2";"-0.44";"A"
"2015-T3";"0.95";"A"
"2015-T4";"0.46";"A"
"2016-T1";"0.89";"A"
"2016-T2";"-1.0";"A"
"2016-T3";"0.83";"A"
"2016-T4";"0.42";"A"
"2017-T1";"1.5";"A"
"2017-T2";"-0.07";"A"
"2017-T3";"0.96";"A"
"2017-T4";"0.36";"A"
"2018-T1";"0.2";"A"
"2018-T2";"0.48";"A"
"2018-T3";"0.03";"A"
"2018-T4";"0.32";"A"
"2019-T1";"1.27";"A"
"2019-T2";"0.55";"A"
"2019-T3";"0.31";"A"
"2019-T4";"-0.37";"A"
"2020-T1";"-5.22";"A"
"2020-T2";"-11.92";"A"
"2020-T3";"17.8";"A"
"2020-T4";"-1.67";"A"
"2021-T1";"0.57";"A"
"2021-T2";"0.91";"A"
"2021-T3";"3.03";"A"
"2021-T4";"1.11";"A"
"2022-T1";"-0.29";"A"
"2022-T2";"0.49";"A"
"2022-T3";"0.67";"A"
"2022-T4";"";""
"2022-T5";"";""
