,Foreign_trade_index_Imports_agriculture,CentralGovDebt,domestic_demand_on_GDP_x,domestic_demand_on_GDP_y,Foreign_trade_index_Exports_Food_products,Unemployment,ConsumerPrices,GNI(dollars),LaborParticipation,GDP(dollars)
1960-01-01,,,,,,,0.027492373101054235,-1.2084567388352934,,-1.2168263176785714
1961-01-01,,,,,,,-0.44452371820849906,-1.2033474776317137,,-1.2115970664048474
1962-01-01,,,,,,,0.35077024776653204,-1.1952180465440894,,-1.2034619383766307
1963-01-01,,,,,,,0.26064570097449935,-1.1861730980935903,,-1.1943223588857876
1964-01-01,,,,,,,-0.22452746652161354,-1.1771125884414557,,-1.1850859168364618
1965-01-01,,,,,,,-0.36239972560634853,-1.1697430627003536,,-1.1775664631525757
1966-01-01,,,,,,,-0.38983479932291387,-1.161461909896786,,-1.1690690956933194
1967-01-01,,,,,,,-0.33833794222067776,-1.1526866889412977,,-1.1601537596597864
1968-01-01,,,,,,,0.13692167807157588,-1.1422477161776394,,-1.149355574715466
1969-01-01,,,,,,,0.5447033738116664,-1.1305773744312042,,-1.1372539502345298
1970-01-01,,,,,,,0.34218487745866405,-1.1240663059427771,,-1.1307093132885089
1971-01-01,,,,,,,0.3687444545485906,-1.1067632706630632,,-1.1132221821729604
1972-01-01,,,,,,,0.5493273414520996,-1.070141482647244,,-1.0757442086301026
1973-01-01,,,,,,,0.9068648432818818,-1.0106704535570965,,-1.0148889531165368
1974-01-01,,,,,,,2.6079157411681195,-0.9903007049279791,,-0.9937943508469267
1975-01-01,,,,,,,2.07513893571735,-0.9164624098077437,,-0.9186139534619288
1976-01-01,,,,,,,1.516029451462324,-0.9051148422435467,,-0.9071422706488024
1977-01-01,,,,,,,1.4804978565366864,-0.8681976697571298,,-0.8692319537175336
1978-01-01,,,,,,,1.414288135766209,-0.7734162216423687,,-0.7729309358906366
1979-01-01,,,,,,,1.7931481416631994,-0.6676848784798463,,-0.6658272843861236
1980-01-01,,,,,,,2.5843787352668492,-0.5800298036832007,,-0.5786073305487709
1981-01-01,,,,,,,2.5170355419008112,-0.6649430458686134,,-0.6642303231840936
1982-01-01,,,,,,,2.1545225602672864,-0.6973080143987245,,-0.6948642845573824
1983-01-01,,,,,,,1.470998730512379,-0.7253636213524441,,-0.7198398104630839
1984-01-01,,,,,,,0.9864267091877735,-0.7548896325983508,,-0.7489866677166612
1985-01-01,,,,,,,0.486399081389717,-0.7303866506406425,,-0.7265616871536763
1986-01-01,,,,,,,-0.4070590508407846,-0.5133486756630866,,-0.5085176507941607
1987-01-01,,,,,,,-0.20344137459986628,-0.3505397966053174,,-0.34602999533819134
1988-01-01,,,,,,,-0.36302093539697483,-0.268571338679684,,-0.26146807895720653
1989-01-01,,,,,,,-0.1466184419461287,-0.26509974537503683,,-0.25511172420369366
1990-01-01,,,,,,,-0.22911563346461838,-0.026497001388726123,-0.000956181415687166,-0.011466097688007144
1991-01-01,,,,,,-0.34830906955173524,-0.22392624545373443,-0.027469439251442854,-0.9597289760224427,-0.011369014704413056
1992-01-01,,,,,,0.3456973669545376,-0.4544826244983727,0.10363800085898786,-0.6328702691262822,0.12064550959912318
1993-01-01,,,,,,1.058981589799889,-0.524844488409627,0.0277693850495933,-0.654665282845951,0.04209906571702393
1994-01-01,,,,,,1.8750821030567675,-0.6466688619293336,0.09542410523223034,-0.8071971294341969,0.11317221927211643
1995-01-01,,,,,,1.3931331547702126,-0.6084169326354184,0.29837537604967096,-0.8943605595880458,0.3200107102713815
1996-01-01,,,,,,1.7337102399670459,-0.5578356557150796,0.31096296383917926,-0.1752747293613125,0.32458499176893396
1997-01-01,,,,,,1.8622298369441475,-0.7692055293543024,0.16573290751460162,-0.872565545868377,0.17199659981022508
