Label,Business climate summary indicator - All sectors - Metropolitan France,Codes
1977-01-01,98.9,A
1977-02-01,101.4,A
1977-03-01,98.7,A
1977-04-01,94.9,A
1977-05-01,92.2,A
1977-06-01,94.4,A
1977-07-01,95.2,A
1977-08-01,95.4,A
1977-09-01,95.8,A
1977-10-01,94.5,A
1977-11-01,92.1,A
1977-12-01,90.5,A
1978-01-01,92.7,A
1978-02-01,92.0,A
1978-03-01,96.4,A
1978-04-01,106.6,A
1978-05-01,105.7,A
1978-06-01,103.4,A
1978-07-01,101.6,A
1978-08-01,102.8,A
1978-09-01,104.1,A
1978-10-01,103.1,A
1978-11-01,105.0,A
1978-12-01,106.7,A
1979-01-01,104.7,A
1979-02-01,102.7,A
1979-03-01,103.1,A
1979-04-01,104.8,A
1979-05-01,104.9,A
1979-06-01,105.2,A
1979-07-01,109.1,A
1979-08-01,108.9,A
1979-09-01,108.8,A
1979-10-01,112.0,A
1979-11-01,113.5,A
1979-12-01,112.9,A
1980-01-01,107.5,A
1980-02-01,106.7,A
1980-03-01,109.8,A
1980-04-01,106.8,A
1980-05-01,104.6,A
1980-06-01,101.7,A
1980-07-01,94.2,A
1980-08-01,92.3,A
1980-09-01,94.8,A
1980-10-01,91.6,A
1980-11-01,94.7,A
1980-12-01,91.4,A
1981-01-01,89.9,A
1981-02-01,88.6,A
1981-03-01,86.9,A
1981-04-01,88.3,A
1981-05-01,91.2,A
1981-06-01,89.9,A
1981-07-01,90.9,A
1981-08-01,92.8,A
1981-09-01,93.4,A
1981-10-01,92.7,A
1981-11-01,95.4,A
1981-12-01,96.6,A
1982-01-01,101.5,A
1982-02-01,100.8,A
1982-03-01,95.1,A
1982-04-01,95.0,A
1982-05-01,97.4,A
1982-06-01,96.4,A
1982-07-01,90.8,A
1982-08-01,88.7,A
1982-09-01,83.0,A
1982-10-01,83.8,A
1982-11-01,89.4,A
1982-12-01,91.4,A
1983-01-01,89.9,A
1983-02-01,88.9,A
1983-03-01,88.5,A
1983-04-01,83.8,A
1983-05-01,80.7,A
1983-06-01,81.2,A
1983-07-01,79.8,A
1983-08-01,80.9,A
1983-09-01,78.7,A
1983-10-01,82.6,A
1983-11-01,82.7,A
1983-12-01,81.7,A
1984-01-01,85.8,A
1984-02-01,86.6,A
1984-03-01,87.6,A
1984-04-01,86.7,A
1984-05-01,86.5,A
1984-06-01,87.0,A
1984-07-01,92.2,A
1984-08-01,93.1,A
1984-09-01,92.4,A
1984-10-01,92.2,A
1984-11-01,93.5,A
1984-12-01,93.1,A
1985-01-01,90.5,A
1985-02-01,92.5,A
1985-03-01,95.5,A
1985-04-01,97.0,A
1985-05-01,96.0,A
1985-06-01,99.8,A
1985-07-01,98.3,A
1985-08-01,98.5,A
1985-09-01,103.0,A
1985-10-01,101.8,A
1985-11-01,104.0,A
1985-12-01,105.2,A
1986-01-01,104.6,A
1986-02-01,105.3,A
1986-03-01,108.0,A
1986-04-01,106.1,A
1986-05-01,107.5,A
1986-06-01,104.1,A
1986-07-01,104.4,A
1986-08-01,104.5,A
1986-09-01,105.0,A
1986-10-01,103.1,A
1986-11-01,102.6,A
1986-12-01,101.7,A
1987-01-01,101.3,A
1987-02-01,101.2,A
1987-03-01,98.7,A
1987-04-01,102.2,A
1987-05-01,104.3,A
1987-06-01,103.0,A
1987-07-01,104.8,A
1987-08-01,106.1,A
1987-09-01,108.8,A
1987-10-01,109.5,A
1987-11-01,109.0,A
1987-12-01,109.0,A
1988-01-01,112.2,A
1988-02-01,113.4,A
1988-03-01,112.9,A
1988-04-01,110.9,A
1988-05-01,111.5,A
1988-06-01,112.0,A
1988-07-01,114.3,A
1988-08-01,115.0,A
1988-09-01,116.0,A
1988-10-01,114.2,A
1988-11-01,115.0,A
1988-12-01,116.2,A
1989-01-01,117.6,A
1989-02-01,115.7,A
1989-03-01,116.8,A
1989-04-01,117.3,A
1989-05-01,115.9,A
1989-06-01,115.9,A
1989-07-01,115.7,A
1989-08-01,114.6,A
1989-09-01,115.6,A
1989-10-01,115.6,A
1989-11-01,116.1,A
1989-12-01,114.6,A
1990-01-01,115.4,A
1990-02-01,113.3,A
1990-03-01,111.1,A
1990-04-01,110.6,A
1990-05-01,110.5,A
1990-06-01,108.8,A
1990-07-01,110.0,A
1990-08-01,104.6,A
1990-09-01,102.9,A
1990-10-01,102.1,A
1990-11-01,100.4,A
1990-12-01,99.0,A
1991-01-01,96.2,A
1991-02-01,86.6,A
1991-03-01,95.4,A
1991-04-01,96.7,A
1991-05-01,93.1,A
1991-06-01,94.4,A
1991-07-01,92.6,A
1991-08-01,93.4,A
1991-09-01,94.9,A
1991-10-01,93.2,A
1991-11-01,91.7,A
1991-12-01,92.0,A
1992-01-01,91.7,A
1992-02-01,95.2,A
1992-03-01,94.8,A
1992-04-01,89.6,A
1992-05-01,92.2,A
1992-06-01,92.2,A
1992-07-01,88.6,A
1992-08-01,85.3,A
1992-09-01,83.3,A
1992-10-01,83.0,A
1992-11-01,82.3,A
1992-12-01,78.3,A
1993-01-01,78.6,A
1993-02-01,77.6,A
1993-03-01,76.9,A
1993-04-01,80.2,A
1993-05-01,80.4,A
1993-06-01,74.3,A
1993-07-01,79.9,A
1993-08-01,81.7,A
1993-09-01,83.5,A
1993-10-01,84.2,A
1993-11-01,87.8,A
1993-12-01,91.1,A
1994-01-01,92.5,A
1994-02-01,93.5,A
1994-03-01,96.9,A
1994-04-01,98.9,A
1994-05-01,102.2,A
1994-06-01,102.7,A
1994-07-01,103.0,A
1994-08-01,105.9,A
1994-09-01,108.3,A
1994-10-01,108.6,A
1994-11-01,109.2,A
1994-12-01,107.7,A
1995-01-01,108.4,A
1995-02-01,105.9,A
1995-03-01,106.9,A
1995-04-01,105.3,A
1995-05-01,106.5,A
1995-06-01,105.0,A
1995-07-01,105.4,A
1995-08-01,102.2,A
1995-09-01,99.8,A
1995-10-01,97.4,A
1995-11-01,95.0,A
1995-12-01,89.3,A
1996-01-01,90.1,A
1996-02-01,91.3,A
1996-03-01,94.3,A
1996-04-01,94.8,A
1996-05-01,91.5,A
1996-06-01,90.4,A
1996-07-01,89.0,A
1996-08-01,89.5,A
1996-09-01,90.6,A
1996-10-01,90.9,A
1996-11-01,91.9,A
1996-12-01,93.7,A
1997-01-01,97.5,A
1997-02-01,99.9,A
1997-03-01,99.5,A
1997-04-01,98.4,A
1997-05-01,97.0,A
1997-06-01,98.8,A
1997-07-01,98.6,A
1997-08-01,101.4,A
1997-09-01,105.5,A
1997-10-01,102.9,A
1997-11-01,105.9,A
1997-12-01,108.5,A
1998-01-01,107.5,A
1998-02-01,108.8,A
1998-03-01,112.1,A
1998-04-01,109.9,A
1998-05-01,111.7,A
1998-06-01,113.3,A
1998-07-01,111.8,A
1998-08-01,111.0,A
1998-09-01,108.2,A
1998-10-01,105.0,A
1998-11-01,103.5,A
1998-12-01,100.1,A
1999-01-01,101.3,A
1999-02-01,103.0,A
1999-03-01,100.5,A
1999-04-01,103.0,A
1999-05-01,105.5,A
1999-06-01,105.0,A
1999-07-01,107.7,A
1999-08-01,110.9,A
1999-09-01,114.2,A
1999-10-01,116.8,A
1999-11-01,118.6,A
1999-12-01,120.2,A
2000-01-01,115.7,A
2000-02-01,115.8,A
2000-03-01,116.5,A
2000-04-01,115.1,A
2000-05-01,114.7,A
2000-06-01,116.2,A
2000-07-01,116.1,A
2000-08-01,117.3,A
2000-09-01,117.9,A
2000-10-01,116.4,A
2000-11-01,114.5,A
2000-12-01,114.3,A
2001-01-01,112.7,A
2001-02-01,112.6,A
2001-03-01,113.3,A
2001-04-01,108.3,A
2001-05-01,105.8,A
2001-06-01,104.9,A
2001-07-01,103.0,A
2001-08-01,101.6,A
2001-09-01,99.7,A
2001-10-01,96.1,A
2001-11-01,96.0,A
2001-12-01,97.0,A
2002-01-01,98.2,A
2002-02-01,99.3,A
2002-03-01,100.7,A
2002-04-01,103.2,A
2002-05-01,103.6,A
2002-06-01,102.7,A
2002-07-01,100.5,A
2002-08-01,99.4,A
2002-09-01,97.7,A
2002-10-01,96.8,A
2002-11-01,98.7,A
2002-12-01,99.9,A
2003-01-01,96.9,A
2003-02-01,95.6,A
2003-03-01,90.1,A
2003-04-01,87.6,A
2003-05-01,92.6,A
2003-06-01,93.1,A
2003-07-01,94.9,A
2003-08-01,95.8,A
2003-09-01,95.5,A
2003-10-01,95.7,A
2003-11-01,98.7,A
2003-12-01,99.8,A
2004-01-01,103.7,A
2004-02-01,102.5,A
2004-03-01,102.3,A
2004-04-01,102.6,A
2004-05-01,103.2,A
2004-06-01,102.6,A
2004-07-01,104.1,A
2004-08-01,104.4,A
2004-09-01,104.4,A
2004-10-01,105.0,A
2004-11-01,103.2,A
2004-12-01,104.4,A
2005-01-01,103.7,A
2005-02-01,104.1,A
2005-03-01,104.2,A
2005-04-01,103.3,A
2005-05-01,100.9,A
2005-06-01,101.8,A
2005-07-01,101.6,A
2005-08-01,101.5,A
2005-09-01,100.8,A
2005-10-01,103.8,A
2005-11-01,103.3,A
2005-12-01,104.8,A
2006-01-01,106.2,A
2006-02-01,103.8,A
2006-03-01,104.2,A
2006-04-01,104.7,A
2006-05-01,106.5,A
2006-06-01,106.2,A
2006-07-01,108.2,A
2006-08-01,108.7,A
2006-09-01,109.3,A
2006-10-01,109.4,A
2006-11-01,111.0,A
2006-12-01,109.6,A
2007-01-01,109.6,A
2007-02-01,111.3,A
2007-03-01,111.8,A
2007-04-01,112.4,A
2007-05-01,112.5,A
2007-06-01,113.5,A
2007-07-01,112.6,A
2007-08-01,111.6,A
2007-09-01,111.0,A
2007-10-01,109.6,A
2007-11-01,110.1,A
2007-12-01,109.9,A
2008-01-01,109.3,A
2008-02-01,108.2,A
2008-03-01,108.1,A
2008-04-01,106.0,A
2008-05-01,103.4,A
2008-06-01,100.2,A
2008-07-01,96.8,A
2008-08-01,95.2,A
2008-09-01,92.8,A
2008-10-01,83.8,A
2008-11-01,79.9,A
2008-12-01,77.2,A
2009-01-01,75.4,A
2009-02-01,73.8,A
2009-03-01,69.7,A
2009-04-01,71.5,A
2009-05-01,74.2,A
2009-06-01,77.6,A
2009-07-01,79.6,A
2009-08-01,82.7,A
2009-09-01,85.5,A
2009-10-01,88.2,A
2009-11-01,89.9,A
2009-12-01,90.1,A
2010-01-01,91.7,A
2010-02-01,92.3,A
2010-03-01,91.7,A
2010-04-01,95.4,A
2010-05-01,96.7,A
2010-06-01,96.3,A
2010-07-01,98.3,A
2010-08-01,100.3,A
2010-09-01,102.3,A
2010-10-01,104.1,A
2010-11-01,104.9,A
2010-12-01,106.5,A
2011-01-01,107.5,A
2011-02-01,108.7,A
2011-03-01,109.3,A
2011-04-01,108.5,A
2011-05-01,107.9,A
2011-06-01,107.6,A
2011-07-01,106.2,A
2011-08-01,101.4,A
2011-09-01,98.7,A
2011-10-01,97.7,A
2011-11-01,95.7,A
2011-12-01,94.8,A
2012-01-01,93.4,A
2012-02-01,93.3,A
2012-03-01,95.7,A
2012-04-01,97.3,A
2012-05-01,93.1,A
2012-06-01,91.9,A
2012-07-01,90.7,A
2012-08-01,89.8,A
2012-09-01,88.3,A
2012-10-01,86.6,A
2012-11-01,87.9,A
2012-12-01,88.5,A
2013-01-01,88.0,A
2013-02-01,88.0,A
2013-03-01,85.9,A
2013-04-01,84.4,A
2013-05-01,85.5,A
2013-06-01,86.8,A
2013-07-01,88.5,A
2013-08-01,91.8,A
2013-09-01,95.4,A
2013-10-01,95.2,A
2013-11-01,94.5,A
2013-12-01,94.0,A
2014-01-01,95.3,A
2014-02-01,94.9,A
2014-03-01,96.0,A
2014-04-01,96.0,A
2014-05-01,95.5,A
2014-06-01,94.8,A
2014-07-01,94.2,A
2014-08-01,92.8,A
2014-09-01,91.8,A
2014-10-01,91.8,A
2014-11-01,93.6,A
2014-12-01,93.8,A
2015-01-01,94.6,A
2015-02-01,95.6,A
2015-03-01,96.7,A
2015-04-01,98.1,A
2015-05-01,99.1,A
2015-06-01,100.4,A
2015-07-01,100.8,A
2015-08-01,102.5,A
2015-09-01,101.9,A
2015-10-01,102.7,A
2015-11-01,102.6,A
2015-12-01,101.4,A
2016-01-01,103.8,A
2016-02-01,102.7,A
2016-03-01,102.7,A
2016-04-01,102.2,A
2016-05-01,104.1,A
2016-06-01,102.8,A
2016-07-01,103.7,A
