Label,Consumer price index - Base 2015 - All households - France - Services,Codes
1990-01-01,56.96,A
1990-02-01,57.2,A
1990-03-01,57.4,A
1990-04-01,57.78,A
1990-05-01,57.95,A
1990-06-01,58.19,A
1990-07-01,58.35,A
1990-08-01,58.49,A
1990-09-01,58.67,A
1990-10-01,58.97,A
1990-11-01,59.1,A
1990-12-01,59.23,A
1991-01-01,59.53,A
1991-02-01,59.78,A
1991-03-01,59.99,A
1991-04-01,60.21,A
1991-05-01,60.39,A
1991-06-01,60.59,A
1991-07-01,60.77,A
1991-08-01,60.96,A
1991-09-01,61.17,A
1991-10-01,61.4,A
1991-11-01,61.59,A
1991-12-01,61.74,A
1992-01-01,62.01,A
1992-02-01,62.31,A
1992-03-01,62.51,A
1992-04-01,62.83,A
1992-05-01,63.03,A
1992-06-01,63.26,A
1992-07-01,63.56,A
1992-08-01,63.73,A
1992-09-01,63.88,A
1992-10-01,64.04,A
1992-11-01,64.17,A
1992-12-01,64.29,A
1993-01-01,64.58,A
1993-02-01,64.84,A
1993-03-01,65.0,A
1993-04-01,65.21,A
1993-05-01,65.37,A
1993-06-01,65.49,A
1993-07-01,65.71,A
1993-08-01,65.76,A
1993-09-01,65.93,A
1993-10-01,66.05,A
1993-11-01,66.12,A
1993-12-01,66.21,A
1994-01-01,66.45,A
1994-02-01,66.69,A
1994-03-01,66.81,A
1994-04-01,66.96,A
1994-05-01,67.04,A
1994-06-01,67.16,A
1994-07-01,67.45,A
1994-08-01,67.51,A
1994-09-01,67.62,A
1994-10-01,67.73,A
1994-11-01,67.86,A
1994-12-01,67.97,A
1995-01-01,68.18,A
1995-02-01,68.39,A
1995-03-01,68.56,A
1995-04-01,68.73,A
1995-05-01,68.78,A
1995-06-01,68.96,A
1995-07-01,69.1,A
1995-08-01,69.41,A
1995-09-01,69.59,A
1995-10-01,69.67,A
1995-11-01,69.69,A
1995-12-01,69.78,A
1996-01-01,69.98,A
1996-02-01,70.19,A
1996-03-01,70.33,A
1996-04-01,70.47,A
1996-05-01,70.59,A
1996-06-01,70.71,A
1996-07-01,70.92,A
1996-08-01,70.88,A
1996-09-01,70.89,A
1996-10-01,70.82,A
1996-11-01,70.8,A
1996-12-01,70.88,A
1997-01-01,71.03,A
1997-02-01,71.18,A
1997-03-01,71.31,A
1997-04-01,71.44,A
1997-05-01,71.57,A
1997-06-01,71.69,A
1997-07-01,72.01,A
1997-08-01,72.05,A
1997-09-01,71.98,A
1997-10-01,71.75,A
1997-11-01,71.75,A
1997-12-01,71.86,A
1998-01-01,72.04,A
1998-02-01,72.21,A
1998-03-01,72.28,A
1998-04-01,72.43,A
1998-05-01,72.54,A
1998-06-01,72.69,A
1998-07-01,72.98,A
1998-08-01,73.02,A
1998-09-01,72.71,A
1998-10-01,72.71,A
1998-11-01,72.67,A
1998-12-01,72.8,A
1999-01-01,72.84,A
1999-02-01,73.02,A
1999-03-01,73.12,A
1999-04-01,73.38,A
1999-05-01,73.38,A
1999-06-01,73.44,A
1999-07-01,73.74,A
1999-08-01,73.74,A
1999-09-01,73.56,A
1999-10-01,73.38,A
1999-11-01,73.28,A
1999-12-01,73.49,A
2000-01-01,73.42,A
2000-02-01,73.61,A
2000-03-01,73.61,A
2000-04-01,73.62,A
2000-05-01,73.68,A
2000-06-01,73.84,A
2000-07-01,74.24,A
2000-08-01,74.2,A
2000-09-01,74.01,A
2000-10-01,73.96,A
2000-11-01,73.95,A
2000-12-01,74.06,A
2001-01-01,74.16,A
2001-02-01,74.3,A
2001-03-01,74.25,A
2001-04-01,74.57,A
2001-05-01,74.61,A
2001-06-01,74.73,A
2001-07-01,75.26,A
2001-08-01,75.33,A
2001-09-01,75.17,A
2001-10-01,75.28,A
2001-11-01,75.22,A
2001-12-01,75.44,A
2002-01-01,75.83,A
2002-02-01,76.09,A
2002-03-01,76.23,A
2002-04-01,76.55,A
2002-05-01,76.67,A
2002-06-01,76.84,A
2002-07-01,77.69,A
2002-08-01,77.83,A
2002-09-01,77.58,A
2002-10-01,77.64,A
2002-11-01,77.84,A
2002-12-01,77.97,A
2003-01-01,78.21,A
2003-02-01,78.41,A
2003-03-01,78.54,A
2003-04-01,78.71,A
2003-05-01,78.84,A
2003-06-01,79.05,A
2003-07-01,79.54,A
2003-08-01,79.63,A
2003-09-01,79.57,A
2003-10-01,79.65,A
2003-11-01,79.66,A
2003-12-01,79.86,A
2004-01-01,80.16,A
2004-02-01,80.48,A
2004-03-01,80.51,A
2004-04-01,80.65,A
2004-05-01,80.83,A
2004-06-01,80.97,A
2004-07-01,81.79,A
2004-08-01,81.87,A
2004-09-01,81.62,A
2004-10-01,81.65,A
2004-11-01,81.67,A
2004-12-01,81.99,A
2005-01-01,82.1,A
2005-02-01,82.68,A
2005-03-01,82.74,A
2005-04-01,82.83,A
2005-05-01,83.07,A
2005-06-01,83.17,A
2005-07-01,83.86,A
2005-08-01,84.06,A
2005-09-01,83.76,A
2005-10-01,83.63,A
2005-11-01,83.64,A
2005-12-01,84.01,A
2006-01-01,84.13,A
2006-02-01,84.54,A
2006-03-01,84.59,A
2006-04-01,84.74,A
2006-05-01,85.01,A
2006-06-01,85.16,A
2006-07-01,85.99,A
2006-08-01,86.16,A
2006-09-01,85.61,A
2006-10-01,85.8,A
2006-11-01,85.84,A
2006-12-01,86.25,A
2007-01-01,86.44,A
2007-02-01,86.79,A
2007-03-01,86.79,A
2007-04-01,87.08,A
2007-05-01,87.17,A
2007-06-01,87.28,A
2007-07-01,88.07,A
2007-08-01,88.29,A
2007-09-01,87.78,A
2007-10-01,87.92,A
2007-11-01,87.97,A
2007-12-01,88.33,A
2008-01-01,88.43,A
2008-02-01,88.74,A
2008-03-01,88.93,A
2008-04-01,89.22,A
2008-05-01,89.29,A
2008-06-01,89.39,A
2008-07-01,90.15,A
2008-08-01,90.4,A
2008-09-01,89.67,A
2008-10-01,90.05,A
2008-11-01,90.0,A
2008-12-01,90.37,A
2009-01-01,90.64,A
2009-02-01,91.12,A
2009-03-01,91.06,A
2009-04-01,91.38,A
2009-05-01,91.53,A
2009-06-01,91.63,A
2009-07-01,92.26,A
2009-08-01,92.37,A
2009-09-01,91.61,A
2009-10-01,91.8,A
2009-11-01,91.65,A
2009-12-01,92.09,A
2010-01-01,92.12,A
2010-02-01,92.54,A
2010-03-01,92.6,A
2010-04-01,92.65,A
2010-05-01,92.66,A
2010-06-01,92.8,A
2010-07-01,93.47,A
2010-08-01,93.63,A
2010-09-01,92.88,A
2010-10-01,93.1,A
2010-11-01,92.98,A
2010-12-01,93.38,A
2011-01-01,93.29,A
2011-02-01,93.98,A
2011-03-01,94.18,A
2011-04-01,94.27,A
2011-05-01,94.32,A
2011-06-01,94.47,A
2011-07-01,95.26,A
2011-08-01,95.34,A
2011-09-01,94.26,A
2011-10-01,94.36,A
2011-11-01,94.52,A
2011-12-01,95.02,A
2012-01-01,95.02,A
2012-02-01,95.46,A
2012-03-01,95.63,A
2012-04-01,95.81,A
2012-05-01,95.72,A
2012-06-01,96.03,A
2012-07-01,97.0,A
2012-08-01,97.19,A
2012-09-01,95.73,A
