Label,Consumer price index - Base 2015 - All households - France - Manufactured products,Codes
1990-01-01,91.96,A
1990-02-01,92.13,A
1990-03-01,92.54,A
1990-04-01,92.74,A
1990-05-01,92.91,A
1990-06-01,93.05,A
1990-07-01,93.26,A
1990-08-01,93.36,A
1990-09-01,93.35,A
1990-10-01,93.49,A
1990-11-01,93.69,A
1990-12-01,93.87,A
1991-01-01,94.32,A
1991-02-01,94.62,A
1991-03-01,94.86,A
1991-04-01,95.05,A
1991-05-01,95.27,A
1991-06-01,95.41,A
1991-07-01,95.64,A
1991-08-01,95.77,A
1991-09-01,95.95,A
1991-10-01,96.21,A
1991-11-01,96.4,A
1991-12-01,96.61,A
1992-01-01,96.51,A
1992-02-01,97.02,A
1992-03-01,97.47,A
1992-04-01,97.31,A
1992-05-01,97.32,A
1992-06-01,97.31,A
1992-07-01,97.28,A
1992-08-01,97.46,A
1992-09-01,97.87,A
1992-10-01,97.96,A
1992-11-01,97.93,A
1992-12-01,97.95,A
1993-01-01,97.83,A
1993-02-01,98.3,A
1993-03-01,98.87,A
1993-04-01,98.92,A
1993-05-01,98.9,A
1993-06-01,98.83,A
1993-07-01,98.41,A
1993-08-01,98.62,A
1993-09-01,99.01,A
1993-10-01,99.13,A
1993-11-01,99.0,A
1993-12-01,99.05,A
1994-01-01,98.62,A
1994-02-01,98.72,A
1994-03-01,99.19,A
1994-04-01,99.28,A
1994-05-01,99.34,A
1994-06-01,99.25,A
1994-07-01,98.9,A
1994-08-01,99.02,A
1994-09-01,99.45,A
1994-10-01,99.49,A
1994-11-01,99.36,A
1994-12-01,99.38,A
1995-01-01,98.85,A
1995-02-01,99.25,A
1995-03-01,99.81,A
1995-04-01,99.78,A
1995-05-01,99.78,A
1995-06-01,99.65,A
1995-07-01,99.3,A
1995-08-01,99.91,A
1995-09-01,100.58,A
1995-10-01,100.74,A
1995-11-01,100.71,A
1995-12-01,100.61,A
1996-01-01,99.89,A
1996-02-01,100.38,A
1996-03-01,101.38,A
1996-04-01,101.35,A
1996-05-01,101.34,A
1996-06-01,101.3,A
1996-07-01,100.53,A
1996-08-01,100.75,A
1996-09-01,101.18,A
1996-10-01,101.58,A
1996-11-01,100.98,A
1996-12-01,100.99,A
1997-01-01,99.94,A
1997-02-01,100.84,A
1997-03-01,101.39,A
1997-04-01,101.33,A
1997-05-01,101.19,A
1997-06-01,101.02,A
1997-07-01,100.03,A
1997-08-01,100.58,A
1997-09-01,101.06,A
1997-10-01,101.07,A
1997-11-01,101.02,A
1997-12-01,101.13,A
1998-01-01,99.72,A
1998-02-01,100.66,A
1998-03-01,101.22,A
1998-04-01,101.27,A
1998-05-01,101.19,A
1998-06-01,101.12,A
1998-07-01,99.89,A
1998-08-01,100.48,A
1998-09-01,101.04,A
1998-10-01,100.93,A
1998-11-01,100.79,A
1998-12-01,100.84,A
1999-01-01,99.41,A
1999-02-01,100.17,A
1999-03-01,100.8,A
1999-04-01,100.74,A
1999-05-01,100.73,A
1999-06-01,100.76,A
1999-07-01,99.38,A
1999-08-01,100.01,A
1999-09-01,100.47,A
1999-10-01,100.55,A
1999-11-01,100.44,A
1999-12-01,100.44,A
2000-01-01,99.85,A
2000-02-01,99.49,A
2000-03-01,100.56,A
2000-04-01,100.43,A
2000-05-01,100.47,A
2000-06-01,100.54,A
2000-07-01,99.21,A
2000-08-01,99.99,A
2000-09-01,100.64,A
2000-10-01,100.81,A
2000-11-01,100.77,A
2000-12-01,100.86,A
2001-01-01,99.93,A
2001-02-01,100.1,A
2001-03-01,101.06,A
2001-04-01,101.21,A
2001-05-01,101.37,A
2001-06-01,101.35,A
2001-07-01,100.09,A
2001-08-01,100.9,A
2001-09-01,101.5,A
2001-10-01,101.64,A
2001-11-01,101.37,A
2001-12-01,101.6,A
2002-01-01,100.84,A
2002-02-01,100.91,A
2002-03-01,101.83,A
2002-04-01,101.89,A
2002-05-01,102.05,A
2002-06-01,101.99,A
2002-07-01,100.85,A
2002-08-01,101.31,A
2002-09-01,102.01,A
2002-10-01,102.04,A
2002-11-01,101.91,A
2002-12-01,102.1,A
2003-01-01,100.61,A
2003-02-01,101.71,A
2003-03-01,102.16,A
2003-04-01,102.2,A
2003-05-01,102.27,A
2003-06-01,102.13,A
2003-07-01,100.83,A
2003-08-01,101.36,A
2003-09-01,102.26,A
2003-10-01,102.54,A
2003-11-01,102.26,A
2003-12-01,102.48,A
2004-01-01,100.71,A
2004-02-01,101.81,A
2004-03-01,102.28,A
2004-04-01,102.48,A
2004-05-01,102.54,A
