Label,Consumer price index - Base 2015 - All households - France - Food,Codes
1990-01-01,67.57,A
1990-02-01,67.72,A
1990-03-01,67.72,A
1990-04-01,68.57,A
1990-05-01,68.57,A
1990-06-01,68.09,A
1990-07-01,67.64,A
1990-08-01,68.07,A
1990-09-01,68.53,A
1990-10-01,68.57,A
1990-11-01,68.46,A
1990-12-01,68.34,A
1991-01-01,68.97,A
1991-02-01,69.16,A
1991-03-01,69.57,A
1991-04-01,70.04,A
1991-05-01,70.35,A
1991-06-01,70.51,A
1991-07-01,70.65,A
1991-08-01,70.35,A
1991-09-01,70.21,A
1991-10-01,70.98,A
1991-11-01,71.47,A
1991-12-01,70.2,A
1992-01-01,70.69,A
1992-02-01,70.91,A
1992-03-01,71.13,A
1992-04-01,71.39,A
1992-05-01,71.68,A
1992-06-01,71.02,A
1992-07-01,70.34,A
1992-08-01,69.72,A
1992-09-01,70.09,A
1992-10-01,70.53,A
1992-11-01,70.59,A
1992-12-01,70.19,A
1993-01-01,70.8,A
1993-02-01,70.5,A
1993-03-01,71.15,A
1993-04-01,71.06,A
1993-05-01,71.17,A
1993-06-01,70.66,A
1993-07-01,70.52,A
1993-08-01,69.88,A
1993-09-01,70.15,A
1993-10-01,70.4,A
1993-11-01,70.7,A
1993-12-01,70.49,A
1994-01-01,70.44,A
1994-02-01,70.59,A
1994-03-01,70.67,A
1994-04-01,71.16,A
1994-05-01,71.69,A
1994-06-01,71.48,A
1994-07-01,71.35,A
1994-08-01,70.93,A
1994-09-01,71.39,A
1994-10-01,71.94,A
1994-11-01,71.52,A
1994-12-01,71.17,A
1995-01-01,71.94,A
1995-02-01,71.94,A
1995-03-01,72.13,A
1995-04-01,72.26,A
1995-05-01,72.58,A
1995-06-01,72.43,A
1995-07-01,72.09,A
1995-08-01,71.74,A
1995-09-01,71.75,A
1995-10-01,71.81,A
1995-11-01,72.09,A
1995-12-01,72.22,A
1996-01-01,72.51,A
1996-02-01,72.66,A
1996-03-01,73.32,A
1996-04-01,73.27,A
1996-05-01,73.73,A
1996-06-01,73.37,A
1996-07-01,73.26,A
1996-08-01,72.37,A
1996-09-01,72.53,A
1996-10-01,72.64,A
1996-11-01,72.95,A
1996-12-01,73.2,A
1997-01-01,74.36,A
1997-02-01,73.77,A
1997-03-01,73.44,A
1997-04-01,73.63,A
1997-05-01,74.2,A
1997-06-01,74.21,A
1997-07-01,74.41,A
1997-08-01,74.26,A
1997-09-01,74.5,A
1997-10-01,74.68,A
1997-11-01,75.15,A
1997-12-01,75.03,A
1998-01-01,75.03,A
1998-02-01,75.05,A
1998-03-01,75.16,A
1998-04-01,75.63,A
1998-05-01,76.01,A
1998-06-01,76.31,A
1998-07-01,75.92,A
1998-08-01,75.49,A
