Label,"SA-WDA industrial production index (base 100 in 2015) - Manufacturing (NAF rev. 2, level A10, item CZ)",Codes
1990-01-01,94.01,A
1990-02-01,96.45,A
1990-03-01,95.44,A
1990-04-01,94.84,A
1990-05-01,95.73,A
1990-06-01,93.78,A
1990-07-01,93.92,A
1990-08-01,93.15,A
1990-09-01,93.9,A
1990-10-01,94.05,A
1990-11-01,92.15,A
1990-12-01,92.72,A
1991-01-01,94.67,A
1991-02-01,92.98,A
1991-03-01,93.5,A
1991-04-01,92.81,A
1991-05-01,91.7,A
1991-06-01,93.17,A
1991-07-01,91.4,A
1991-08-01,92.65,A
1991-09-01,93.13,A
1991-10-01,92.16,A
1991-11-01,93.48,A
1991-12-01,92.39,A
1992-01-01,92.82,A
1992-02-01,92.24,A
1992-03-01,93.15,A
1992-04-01,92.22,A
1992-05-01,92.48,A
1992-06-01,91.31,A
1992-07-01,90.85,A
1992-08-01,91.15,A
1992-09-01,89.72,A
1992-10-01,90.07,A
1992-11-01,89.56,A
1992-12-01,88.06,A
1993-01-01,88.28,A
1993-02-01,87.49,A
1993-03-01,87.0,A
1993-04-01,87.06,A
1993-05-01,86.75,A
1993-06-01,85.81,A
1993-07-01,87.26,A
1993-08-01,86.49,A
1993-09-01,86.85,A
1993-10-01,87.29,A
1993-11-01,85.55,A
1993-12-01,85.88,A
1994-01-01,87.75,A
1994-02-01,87.32,A
1994-03-01,87.84,A
1994-04-01,89.18,A
1994-05-01,89.99,A
1994-06-01,90.33,A
1994-07-01,91.27,A
1994-08-01,91.79,A
1994-09-01,91.44,A
1994-10-01,92.65,A
1994-11-01,94.14,A
1994-12-01,93.69,A
1995-01-01,93.8,A
1995-02-01,94.19,A
1995-03-01,93.58,A
1995-04-01,93.89,A
1995-05-01,93.21,A
1995-06-01,93.98,A
1995-07-01,94.41,A
1995-08-01,93.64,A
1995-09-01,94.21,A
1995-10-01,93.1,A
1995-11-01,92.25,A
1995-12-01,94.52,A
1996-01-01,93.5,A
1996-02-01,92.78,A
1996-03-01,93.8,A
1996-04-01,93.24,A
1996-05-01,94.77,A
1996-06-01,94.33,A
1996-07-01,92.4,A
1996-08-01,95.01,A
1996-09-01,94.72,A
1996-10-01,93.8,A
1996-11-01,94.99,A
1996-12-01,94.91,A
1997-01-01,93.97,A
1997-02-01,95.74,A
1997-03-01,96.8,A
1997-04-01,99.67,A
1997-05-01,97.5,A
1997-06-01,98.24,A
1997-07-01,98.4,A
1997-08-01,102.52,A
1997-09-01,100.15,A
1997-10-01,102.81,A
1997-11-01,100.54,A
1997-12-01,102.67,A
1998-01-01,102.8,A
1998-02-01,103.36,A
1998-03-01,101.78,A
1998-04-01,102.99,A
1998-05-01,104.6,A
1998-06-01,103.85,A
1998-07-01,104.97,A
1998-08-01,102.34,A
1998-09-01,104.03,A
1998-10-01,103.68,A
1998-11-01,104.03,A
1998-12-01,103.27,A
1999-01-01,104.45,A
1999-02-01,103.03,A
1999-03-01,103.45,A
1999-04-01,104.54,A
1999-05-01,105.18,A
1999-06-01,106.35,A
1999-07-01,106.56,A
1999-08-01,104.25,A
1999-09-01,107.4,A
1999-10-01,109.01,A
1999-11-01,108.92,A
1999-12-01,108.02,A
2000-01-01,108.74,A
2000-02-01,109.23,A
2000-03-01,109.82,A
2000-04-01,110.45,A
2000-05-01,112.19,A
2000-06-01,110.57,A
2000-07-01,111.77,A
2000-08-01,110.48,A
2000-09-01,111.18,A
2000-10-01,112.37,A
2000-11-01,112.28,A
2000-12-01,113.88,A
2001-01-01,112.92,A
2001-02-01,113.68,A
2001-03-01,114.22,A
2001-04-01,111.69,A
2001-05-01,112.69,A
2001-06-01,112.89,A
2001-07-01,110.96,A
2001-08-01,113.96,A
2001-09-01,111.62,A
2001-10-01,111.76,A
2001-11-01,109.51,A
2001-12-01,109.79,A
2002-01-01,110.68,A
2002-02-01,111.63,A
2002-03-01,111.92,A
2002-04-01,112.51,A
2002-05-01,110.88,A
2002-06-01,110.81,A
2002-07-01,109.65,A
2002-08-01,112.27,A
2002-09-01,110.31,A
2002-10-01,109.38,A
2002-11-01,110.92,A
2002-12-01,107.73,A
2003-01-01,109.73,A
2003-02-01,110.09,A
2003-03-01,110.62,A
2003-04-01,110.43,A
2003-05-01,107.49,A
2003-06-01,107.0,A
2003-07-01,108.97,A
2003-08-01,108.52,A
2003-09-01,108.39,A
2003-10-01,110.36,A
2003-11-01,108.56,A
2003-12-01,109.2,A
2004-01-01,109.85,A
2004-02-01,111.33,A
2004-03-01,110.36,A
2004-04-01,110.74,A
2004-05-01,109.94,A
2004-06-01,111.41,A
2004-07-01,112.01,A
2004-08-01,107.49,A
2004-09-01,111.65,A
2004-10-01,112.39,A
2004-11-01,110.12,A
2004-12-01,110.54,A
2005-01-01,112.89,A
2005-02-01,110.8,A
2005-03-01,108.45,A
2005-04-01,111.77,A
2005-05-01,110.16,A
2005-06-01,110.1,A
2005-07-01,110.04,A
2005-08-01,108.86,A
2005-09-01,112.38,A
2005-10-01,109.07,A
2005-11-01,113.31,A
2005-12-01,111.82,A
2006-01-01,110.89,A
2006-02-01,110.37,A
2006-03-01,112.7,A
2006-04-01,111.31,A
2006-05-01,114.22,A
2006-06-01,114.01,A
2006-07-01,112.09,A
2006-08-01,111.27,A
2006-09-01,113.31,A
2006-10-01,112.59,A
2006-11-01,111.85,A
2006-12-01,114.02,A
2007-01-01,112.9,A
2007-02-01,113.87,A
2007-03-01,114.44,A
2007-04-01,113.0,A
2007-05-01,115.6,A
2007-06-01,114.58,A
2007-07-01,114.75,A
2007-08-01,115.43,A
2007-09-01,112.27,A
2007-10-01,114.86,A
2007-11-01,113.4,A
2007-12-01,113.52,A
2008-01-01,115.02,A
2008-02-01,116.21,A
2008-03-01,114.16,A
2008-04-01,115.79,A
2008-05-01,110.99,A
2008-06-01,110.38,A
2008-07-01,111.2,A
2008-08-01,109.58,A
2008-09-01,109.0,A
2008-10-01,107.06,A
2008-11-01,100.66,A
2008-12-01,99.19,A
2009-01-01,94.74,A
2009-02-01,93.52,A
2009-03-01,92.06,A
2009-04-01,92.07,A
2009-05-01,93.39,A
2009-06-01,95.08,A
2009-07-01,94.62,A
2009-08-01,96.11,A
2009-09-01,96.94,A
