Label,Rent reference index (RRI),Codes,Unnamed: 3
2002-10-01,105.61,A,
2003-01-01,106.17,A,
2003-04-01,106.61,A,
2003-07-01,107.06,A,
2003-10-01,107.49,A,
2004-01-01,107.8,A,
2004-04-01,108.28,A,
2004-07-01,108.72,A,
2004-10-01,109.2,A,
2005-01-01,109.64,A,
2005-04-01,110.08,A,
2005-07-01,110.57,A,
2005-10-01,111.01,A,
2006-01-01,111.47,A,14/02/2008
2006-04-01,111.98,A,14/02/2008
2006-07-01,112.43,A,14/02/2008
2006-10-01,112.77,A,14/02/2008
2007-01-01,113.07,A,14/02/2008
2007-04-01,113.37,A,14/02/2008
2007-07-01,113.68,A,14/02/2008
2007-10-01,114.3,A,16/02/2008
2008-01-01,115.12,A,19/04/2008
2008-04-01,116.07,A,17/07/2008
2008-07-01,117.03,A,21/11/2008
2008-10-01,117.54,A,17/01/2009
2009-01-01,117.7,A,17/04/2009
2009-04-01,117.59,A,25/07/2009
2009-07-01,117.41,A,16/10/2009
2009-10-01,117.47,A,17/01/2010
2010-01-01,117.81,A,16/04/2010
2010-04-01,118.26,A,22/07/2010
2010-07-01,118.7,A,16/10/2010
2010-10-01,119.17,A,16/01/2011
2011-01-01,119.69,A,16/04/2011
2011-04-01,120.31,A,22/07/2011
2011-07-01,120.95,A,15/10/2011
2011-10-01,121.68,A,15/01/2012
2012-01-01,122.37,A,18/04/2012
2012-04-01,122.96,A,17/07/2012
2012-07-01,123.55,A,13/10/2012
2012-10-01,123.97,A,12/01/2013
2013-01-01,124.25,A,16/04/2013
2013-04-01,124.44,A,16/07/2013
2013-07-01,124.66,A,23/10/2013
2013-10-01,124.83,A,17/01/2014
2014-01-01,125.0,A,18/04/2014
2014-04-01,125.15,A,25/07/2014
2014-07-01,125.24,A,22/10/2014
2014-10-01,125.29,A,17/01/2015
2015-01-01,125.19,A,17/04/2015
2015-04-01,125.25,A,23/07/2015
2015-07-01,125.26,A,16/10/2015
2015-10-01,125.28,A,15/01/2016
2016-01-01,125.26,A,14/04/2016
2016-04-01,125.25,A,14/07/2016
2016-07-01,125.33,A,13/10/2016
2016-10-01,125.5,A,14/01/2017
2017-01-01,125.9,A,14/04/2017
2017-04-01,126.19,A,16/07/2017
2017-07-01,126.46,A,13/10/2017
2017-10-01,126.82,A,13/01/2018
2018-01-01,127.22,A,13/04/2018
2018-04-01,127.77,A,13/07/2018
2018-07-01,128.45,A,28/11/2018
2018-10-01,129.03,A,16/01/2019
2019-01-01,129.38,A,12/04/2019
2019-04-01,129.72,A,17/07/2019
2019-07-01,129.99,A,16/10/2019
2019-10-01,130.26,A,16/01/2020
2020-01-01,130.57,A,25/06/2020
2020-04-01,130.57,A,17/07/2020
2020-07-01,130.59,A,16/10/2020
2020-10-01,130.52,A,17/01/2021
2021-01-01,130.69,A,17/04/2021
2021-04-01,131.12,A,16/07/2021
2021-07-01,131.67,A,16/10/2021
2021-10-01,132.62,A,15/01/2022
2022-01-01,133.93,A,16/04/2022
2022-04-01,135.84,A,14/07/2022
2022-07-01,136.27,A,15/10/2022
