,Produit interieur brut (PIB),Importations,Depense de consommation des menages,Depense de consommation des APU1,Formation brute de capital fixe,Exportations
2022-T3,0.2,3.5,-0.1,0.2,1.7,2
2022-T2,0.5,1.6,0.4,0,0.5,0.9
2022-T1,-0.2,1.4,-1.2,0.2,0.5,2
2021-T4,0.6,4.5,0.5,0.6,-0.1,3.1
2021-T3,3.3,0.9,5.6,3.1,0,2
2021-T2,1.1,2.1,1.2,0.6,2.2,2.6
2021-T1,0.1,1.5,0.4,-0.6,0.9,-0.2
2020-T4,-0.9,0.4,-5.4,-0.2,2.6,3.5
2020-T3,18.3,17.9,18.3,17.5,23.7,22.3
2020-T2,-13.5,-19.1,-11.5,-11.7,-14.2,-25.3
2020-T1,-5.5,-5.5,-5.3,-3.3,-9.5,-6.7
2019-T4,-0.3,-1.2,0.2,0.1,0.3,-0.9
2019-T3,0,-0.3,0.1,0.4,0.6,-1.3
2019-T2,0.7,-0.1,0.6,0.3,1.7,0.3
2019-T1,0.7,2.2,0.8,0.1,1.1,0.5
2018-T4,0.6,1.2,0.3,0.5,0.9,2.2
2018-T3,0.4,-1,0.4,0,0.6,0.1
2018-T2,0.4,1,0,0.4,1.3,0.7
2018-T1,0.1,0.6,0.3,-0.1,0.2,0.2
2017-T4,0.6,1.4,0.1,0.1,0.9,2.3
2017-T3,0.8,1.9,0.7,0.5,1.2,1.6
2017-T2,0.8,-0.1,0.4,0.5,1.1,2.7
2017-T1,0.7,2.3,0.3,0.1,2.4,-0.2
2016-T4,0.6,0.8,1,0.4,0.9,1.5
2016-T3,0.3,2,0,0.5,0.3,0.3
2016-T2,-0.3,-1.7,0.1,0.3,-0.3,0.4
2016-T1,0.6,0.6,1.2,0.4,1.1,-0.3
2015-T4,0.2,2,-0.1,0.4,1.1,1.2
2015-T3,0.2,1.8,0.3,0.2,1.2,-0.5
2015-T2,0.1,0.1,0.3,0.2,-0.8,1.8
2015-T1,0.5,2.1,0.5,0.2,1,1.1
2014-T4,0,1.1,0.3,0.3,-0.6,1.5
2014-T3,0.6,1.8,0.4,0.4,0.4,1.4
2014-T2,0.1,1.1,0.6,0.3,-0.4,0.3
2014-T1,0,1,-0.5,0.3,-0.4,0.7
2013-T4,0.7,1.2,0.6,0.3,0.9,1.2
2013-T3,-0.1,0.9,0,0.3,0,-0.5
2013-T2,0.7,2.3,0.5,0.5,0.1,2.5
2013-T1,0.1,-0.2,-0.1,0.4,-0.5,0
2012-T4,-0.1,-0.1,0.3,0.3,-0.4,0.2
2012-T3,0.2,0.4,0.1,0.3,0.3,0
2012-T2,-0.2,0.3,-0.2,0.5,-0.8,0.5
2012-T1,0,0.9,0.1,0.5,-0.4,0.9
2011-T4,0.2,-0.9,-0.4,0.3,1.3,1.3
2011-T3,0.5,0.1,0.2,0.6,0.5,0.8
2011-T2,-0.1,-1.2,-1.2,0.1,0.1,1.2
2011-T1,1,3.9,0.4,0.3,0.2,2.5
2010-T4,0.7,0.9,0.8,0.1,0.6,0.8
2010-T3,0.6,2.8,0.6,0.4,1.2,1.9
2010-T2,0.5,4.2,0.3,0.2,0.8,2.9
2010-T1,0.4,0.7,0.3,0.1,1,3.9
2009-T4,0.7,3.7,0.7,0.5,0.6,-0.1
2009-T3,0.2,1.1,0,0.5,-0.7,1.9
2009-T2,0,-1.9,0.6,0.7,-2.5,0
2009-T1,-1.7,-7.1,-0.1,0.7,-4.1,-7.5
2008-T4,-1.5,-2.8,-0.4,0.8,-3.2,-4.7
2008-T3,-0.2,-0.3,0.1,0.5,-0.9,-0.9
2008-T2,-0.6,-0.8,0,0.1,-1.1,-1.5
2008-T1,0.5,1.1,-0.4,0.1,1.6,2.3
2007-T4,0.2,0.5,0.3,0.2,0.5,0.3
2007-T3,0.5,0.8,0.9,0.4,1.1,0.2
2007-T2,0.7,2.8,1,0.5,1.1,1.6
2007-T1,0.7,1,0.6,0.6,1.8,0.3
2006-T4,0.7,2.6,0.6,0.5,1.6,1.9
2006-T3,0.1,-0.7,0.2,0.1,0.6,-1.5
2006-T2,1,1.7,0.6,0.4,1.9,1.5
2006-T1,0.8,0.5,0.8,0.6,0.7,2.2
2005-T4,0.7,3.3,0.6,0,0.6,2.3
2005-T3,0.5,2.5,0.5,0.3,0.9,2.2
2005-T2,0.3,0.8,0.3,0.4,0.5,1.4
2005-T1,0.2,0.3,0.6,0.3,0.7,-0.7
2004-T4,0.7,2.5,1.5,0.3,1.4,2
2004-T3,0.3,1.8,0,0.3,0.3,0.4
2004-T2,0.6,2,0.4,0.6,0.5,1.7
2004-T1,1,0.7,0.6,0.5,1.2,0.4
2003-T4,0.7,1.7,0.3,0.8,0.2,2.6
2003-T3,0.7,0.9,0.6,0.4,1.6,1.1
2003-T2,-0.2,-0.7,0.1,0.6,0,-0.8
