Label,Monthly economic survey in services - Past trend of activity - All services activities - SA series,Codes
1988-01-01,25.2,A
1988-02-01,25.2,O
1988-03-01,25.2,O
1988-04-01,27.5,A
1988-05-01,27.5,O
1988-06-01,27.5,O
1988-07-01,11.9,A
1988-08-01,11.9,O
1988-09-01,11.9,O
1988-10-01,21.5,A
1988-11-01,21.5,O
1988-12-01,21.5,O
1989-01-01,17.4,A
1989-02-01,17.4,O
1989-03-01,17.4,O
1989-04-01,22.5,A
1989-05-01,22.5,O
1989-06-01,22.5,O
1989-07-01,17.6,A
1989-08-01,17.6,O
1989-09-01,17.6,O
1989-10-01,17.2,A
1989-11-01,17.2,O
1989-12-01,17.2,O
1990-01-01,19.2,A
1990-02-01,19.2,O
1990-03-01,19.2,O
1990-04-01,17.4,A
1990-05-01,17.4,O
1990-06-01,17.4,O
1990-07-01,15.4,A
1990-08-01,15.4,O
1990-09-01,15.4,O
1990-10-01,4.9,A
1990-11-01,4.9,O
1990-12-01,4.9,O
1991-01-01,3.7,A
1991-02-01,3.7,O
1991-03-01,3.7,O
1991-04-01,-11.8,A
1991-05-01,-11.8,O
1991-06-01,-11.8,O
1991-07-01,-2.9,A
1991-08-01,-2.9,O
1991-09-01,-2.9,O
1991-10-01,-2.6,A
1991-11-01,-2.6,O
1991-12-01,-2.6,O
1992-01-01,-7.5,A
1992-02-01,-7.5,O
1992-03-01,-7.5,O
1992-04-01,-2.9,A
1992-05-01,-2.9,O
1992-06-01,-2.9,O
1992-07-01,-10.2,A
1992-08-01,-10.2,O
1992-09-01,-10.2,O
1992-10-01,-6.8,A
1992-11-01,-6.8,O
1992-12-01,-6.8,O
1993-01-01,-16.3,A
1993-02-01,-16.3,O
1993-03-01,-16.3,O
1993-04-01,-22.9,A
1993-05-01,-22.9,O
1993-06-01,-22.9,O
1993-07-01,-12.4,A
1993-08-01,-12.4,O
1993-09-01,-12.4,O
1993-10-01,-13.3,A
1993-11-01,-13.3,O
1993-12-01,-13.3,O
1994-01-01,-5.1,A
1994-02-01,-5.1,O
1994-03-01,-5.1,O
1994-04-01,2.4,A
1994-05-01,2.4,O
1994-06-01,2.4,O
1994-07-01,1.8,A
1994-08-01,1.8,O
1994-09-01,1.8,O
1994-10-01,3.1,A
1994-11-01,3.1,O
1994-12-01,3.1,O
1995-01-01,7.5,A
1995-02-01,7.5,O
1995-03-01,7.5,O
1995-04-01,3.8,A
1995-05-01,3.8,O
1995-06-01,3.8,O
1995-07-01,1.7,A
1995-08-01,1.7,O
1995-09-01,1.7,O
1995-10-01,-4.0,A
1995-11-01,-4.0,O
1995-12-01,-4.0,O
1996-01-01,-10.1,A
1996-02-01,-10.1,O
1996-03-01,-10.1,O
1996-04-01,2.6,A
1996-05-01,2.6,O
1996-06-01,2.6,O
1996-07-01,-7.1,A
1996-08-01,-7.1,O
1996-09-01,-7.1,O
1996-10-01,-4.2,A
1996-11-01,-4.2,O
1996-12-01,-4.2,O
1997-01-01,-1.1,A
1997-02-01,-1.1,O
1997-03-01,-1.1,O
1997-04-01,4.3,A
1997-05-01,4.3,O
1997-06-01,4.3,O
1997-07-01,2.1,A
1997-08-01,2.1,O
1997-09-01,2.1,O
1997-10-01,4.6,A
1997-11-01,4.6,O
1997-12-01,4.6,O
1998-01-01,7.0,A
1998-02-01,7.0,O
1998-03-01,7.0,O
1998-04-01,5.4,A
1998-05-01,5.4,O
1998-06-01,5.4,O
